Unit,Category,Term,Definition
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 17: The Making of Industrial Society,Factory system,"An industrial production method characterized by mass production, division of labor, assembly line, and standardized products with low costs."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 17: The Making of Industrial Society,Flying shuttle,"An early machine used for weaving which allows multiple threads to be woven together simultaneously, improving efficiency and speed in textile production during the Industrial Revolution."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 17: The Making of Industrial Society,Friedrich Engels,A German philosopher and economist who co-authored The Communist Manifesto.
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 17: The Making of Industrial Society,George Stephenson,"A 19th century British inventor, engineer and railway pioneer who developed several steam-powered locomotives which transformed transportation in England during the Industrial Revolution."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 17: The Making of Industrial Society,Henry Ford,"An American business magnate, industrialist, and inventor who is best known for founding the Ford Motor Company and revolutionizing mass production. He introduced the assembly line, making cars more affordable and accessible to the general public."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 17: The Making of Industrial Society,James Watt,"An engineer from Scotland, known for developing the steam engine which revolutionized transportation and manufacturing."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 17: The Making of Industrial Society,Karl Marx,"Known for his theory of communism, which advocated for a classless society where goods and resources are distributed based on need rather than wealth or social status."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 17: The Making of Industrial Society,Luddites,A group of textile workers who protested against mechanization and technology advancement during the Industrial Revolution.
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 17: The Making of Industrial Society,Middle class,"The social and economic group of people who have moderate income, education, and access to goods and services, as well as political rights and freedoms."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 17: The Making of Industrial Society,Power loom,"A machine used in textile manufacturing that uses electricity to automate the weaving process, allowing for faster production of fabric with intricate patterns and designs."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 17: The Making of Industrial Society,Second Industrial Revolution,"A period of major technological advancements in the late 18th and early 19th centuries, leading to increased mechanization and the rise of factories."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 17: The Making of Industrial Society,Socialism,An economic system where wealth and resources are distributed equally among all citizens.
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 17: The Making of Industrial Society,Trade unions,"Organizations of workers that negotiate with employers for better wages, benefits, and working conditions."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 17: The Making of Industrial Society,Trusts,"Legal arrangements that hold assets or property on behalf of beneficiaries with specific terms and conditions, ensuring their proper management and distribution according to predetermined rules."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 17: The Making of Industrial Society,Utopian socialists,"Individuals or groups who strive to create ideal societies through collective action and governance, often promoting social equality and justice."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 17: The Making of Industrial Society,Working class,"Consists of manual laborers who perform physically demanding tasks for wages, often living in poverty and lacking access to social mobility opportunities."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 18: The Americas in the Age of Independence,Abraham Lincoln,The 16th President of the United States who abolished slavery and preserved the Union during the Civil War.
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 18: The Americas in the Age of Independence,Antonio Lopez de Santa Anna,"A Mexican soldier and statesman who served as President of Mexico from 1829 to 1836. He played a significant role in the Texas Revolution, leading an army against the United States during the Mexican-American War."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 18: The Americas in the Age of Independence,Battle of the Little Bighorn,"A military engagement on June 25, 1876, in Montana between the United States Army and Lakota, Cheyenne, Arapaho, and Sioux warriors, resulting in a decisive victory for the Native Americans."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 18: The Americas in the Age of Independence,Benito Juarez,"A Mexican president who fought for land reform, abolition of slavery and women's rights during his presidency from 1858 to 1872. He is also known as the Father of Modern Mexico"" for his efforts in modernizing the country."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 18: The Americas in the Age of Independence,British North America Act of 1867,"A law passed by the Parliament of Canada, UK and USA in 1867 which unified various colonies into the Dominion of Canada."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 18: The Americas in the Age of Independence,Canadian Pacific Railroad,"Canada's first transcontinental railroad, linking the Atlantic and Pacific coasts from 1885 to 1916."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 18: The Americas in the Age of Independence,Caudillos,"Powerful leaders or rulers who hold significant control over their respective regions, often exerting authority and influence through force, intimidation, or manipulation. They typically operate during times of political instability or transition and may wield power through military campaigns or other means to consolidate their control over territories or populations."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 18: The Americas in the Age of Independence,Domingo Faustino Sarmiento,An Argentinean politician who is considered one of the founding fathers of Argentina and the first president to be elected by universal male suffrage.
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 18: The Americas in the Age of Independence,Dominion of Canada,"A self-governing dominion within the British Empire, granted full autonomy and responsible government in 1867, including representation in Parliament."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 18: The Americas in the Age of Independence,Durham Report,"An investigation of the East India Company’s practices in British India, which led to many changes that significantly impacted the country. It resulted in the end of the Company's rule and the establishment of the British Raj."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 18: The Americas in the Age of Independence,Emancipation Proclamation,"On January 1, 1863, President Abraham Lincoln issued an executive order that declared all slaves in Confederate territory to be free. This marked a turning point in the American Civil War by abolishing slavery."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 18: The Americas in the Age of Independence,Emiliano Zapata,"A Mexican revolutionary leader who fought against the ruling class, advocating for peasants' rights and land redistribution during the Mexican Revolution."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 18: The Americas in the Age of Independence,Francisco (Pancho) Villa,A famous revolutionary general who fought against the United States and Mexico during the Mexican Revolution in the early 20th century.
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 18: The Americas in the Age of Independence,Gauchos,"Skilled horsemen who lived and worked on ranches in Argentina, known for their bravery and independence in the 19th century."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 18: The Americas in the Age of Independence,Indian Removal Act of 1830,"Allowed for the forced relocation of Native American tribes, resulting in immense suffering and loss of land."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 18: The Americas in the Age of Independence,John A. Macdonald,"A Canadian politician who served as the first Prime Minister of Canada from 1867-1873, and again from 1896-1903. He is known for his role in the creation of the modern Canadian government, including the establishment of a unified parliament and the introduction of responsible government."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 18: The Americas in the Age of Independence,Juan Manuel de Rosas,"A military dictator who ruled Argentina from 1845 until his death in 1882, known for suppressing opposition and implementing authoritarian policies to maintain control over the country."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 18: The Americas in the Age of Independence,Louis Riel,"A First Nations leader who led resistance against Canadian government policies, advocating for Native American rights."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 18: The Americas in the Age of Independence,Machismo,"A cultural belief system in Latin American countries that emphasizes macho behavior, dominance of men, and control over women."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 18: The Americas in the Age of Independence,Manifest destiny,"The belief held by many Americans in the 19th century that it was their God-given right and duty to expand westward across North America, from the Atlantic to the Pacific Coast. This belief led to significant territorial expansion, conflicts with Native American tribes, and the displacement of indigenous peoples."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 18: The Americas in the Age of Independence,Mexican-American War,"Conflict fought by the United States and Mexico from 1846 to 1848 over control of California, New Mexico, Nevada, Utah, Arizona, and parts of Colorado, Kansas, Oklahoma, and Wyoming."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 18: The Americas in the Age of Independence,Porfirio Diaz,"President of Mexico from 1876-1911, known for his authoritarian rule and policies promoting economic growth through modernization."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 18: The Americas in the Age of Independence,Railroad time,"The concept of dividing time into periods based on the schedules of trains, which became popular during the 19th century and had a significant impact on society."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 18: The Americas in the Age of Independence,Reconstruction,"After the Civil War, the United States underwent a period of rebuilding and renewal. This involved efforts to reunite the country, end slavery, and strengthen the federal government's power over the states. Reconstruction also had lasting social and political effects on American society."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 18: The Americas in the Age of Independence,Seneca Falls Convention,"On July 19, 1848. Is considered the first women’s rights convention in the United States. It marked a major turning point in the fight for women’s rights and it inspired many throughout the world to fight for gender equality."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 18: The Americas in the Age of Independence,Soldaderas,Women who fought alongside male soldiers in military campaigns during the Mexican Revolution. They played an essential role in the war effort and their contributions were crucial to achieving independence from Spanish rule.
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 18: The Americas in the Age of Independence,Trail of Tears,"A forced relocation of Native American tribes from their ancestral lands to Indian Territory, resulting in loss of life and cultural heritage."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 18: The Americas in the Age of Independence,U.S. Civil War,"A war fought from 1861-1865 between the northern and southern states of America over issue of slavery, resulting in the preservation of the United States as one country."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 18: The Americas in the Age of Independence,War of 1812,"A conflict between the United States and Great Britain over issues including maritime rights, impressment of American sailors, and Native American resistance. It is often seen as a turning point in American history and led to the recognition of the United States as an independent nation."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 18: The Americas in the Age of Independence,Wounded Knee,"An armed conflict between the US government, mostly made up of troops from the 7th Cavalry Regiment and other military forces, and an estimated 5-6 dozen Native American tribes on December 29-30, 1890, at the South Dakota reservation of Wounded Knee."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 19: Societies at Crossroads,Abdul Hamid II,"The second Sultan of the Ottoman Empire, known for his modernization efforts and military campaigns."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 19: Societies at Crossroads,Boxer rebellion,An anti-foreign and anti-Christian uprising in Qing dynasty China from 1899 to 1901.
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 19: Societies at Crossroads,Capitulations,"Agreements made by European powers with foreign countries granting them special rights and privileges, including trade advantages and immunity from certain laws."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 19: Societies at Crossroads,Cixi,A Chinese emperor who ruled over the Qing dynasty from 1875 until her death in 1908. She is remembered as one of China's most controversial rulers due to her authoritarian regime and suppression of political dissent.
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 19: Societies at Crossroads,Cohong,"A group of Chinese merchants who engaged in trade, usually based along the Silk Road and often associated with smuggling."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 19: Societies at Crossroads,Commodore Matthew C. Perry,"In 1853, this American diplomat sailed into Japan and forced the country to open its ports to foreign trade, effectively ending centuries of isolationism. This event marked a turning point in U.S.-Japan relations and had a significant impact on world history."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 19: Societies at Crossroads,Crimean War,"A war fought from 1853-1856 between Russia and an alliance of France, Britain, and the Ottoman Empire over control of the Black Sea. It resulted in Russia's defeat and signified the decline of European empires."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 19: Societies at Crossroads,Fukuzawa Yukichi,"A Japanese philosopher and educator who promoted modernity by introducing Western ideas of democracy, equality, and human rights in Japan after the Meiji Restoration."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 19: Societies at Crossroads,Hundred Days reforms,"A series of political and social changes implemented by the Qing Dynasty in China between 1898-1905, aiming to modernize and improve the empire's governance."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 19: Societies at Crossroads,Ito Hirobumi,"A Japanese politician who played a significant role in modernizing Japan by introducing Western-style government and industry, and promoting education and cultural exchange with the West."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 19: Societies at Crossroads,Janissaries,"Elite soldiers of the Ottoman Empire who served as a personal guard for the sultan and also acted as a police force within the empire. They played a significant role in shaping the history of the Ottoman Empire, particularly during the height of their power in the 15th to 17th centuries."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 19: Societies at Crossroads,Lin Zexu,A Qing Dynasty Chinese official who played a key role in suppressing the opium trade with Britain and other Western powers during the 19th century.
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 19: Societies at Crossroads,Mahmud II,"An Ottoman Sultan known for his progressive reforms, including the modernization of the military and government structures."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 19: Societies at Crossroads,Meiji restoration,"The period from 1868 to 1912 when Japan underwent radical political, economic and social changes."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 19: Societies at Crossroads,Micholas II,"King of Bohemia who supported the Reformation, signed the Edict of Prague (1541)."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 19: Societies at Crossroads,Opium War,"In the 19th century, China was involved in a war with Great Britain over trade and control of opium."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 19: Societies at Crossroads,Qing,The Manchu-led Chinese dynasty from 1644 to 1912.
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 19: Societies at Crossroads,Samurai,"Japanese warriors who lived during the feudal period, known for their code of honor, loyalty, and skills in swordsmanship and archery."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 19: Societies at Crossroads,Self-Strengthening Movement,"A government strategy that aimed at modernizing China by adopting Western technology, military tactics, and institutions from the 1850s to 1910s."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 19: Societies at Crossroads,Sergei Witte,"A Russian statesman who served as Prime Minister of Russia from 1903-1905, implementing important political and economic reforms, such as modernizing the Russian army."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 19: Societies at Crossroads,Sultan Selim III,"A powerful ruler of the Ottoman Empire during the 18th century, known for his military conquests and expansion of the empire's territory."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 19: Societies at Crossroads,Taiping rebellion,"A violent uprising against the Qing Dynasty by a religious movement led by Hong Xiuquan, which caused massive casualties and territorial losses to China."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 19: Societies at Crossroads,Tanzimat era,"(1774-1839) A series of reforms implemented by Sultan Abdulmejid I of the Ottoman Empire that modernized various aspects of government, education, and society. It played a crucial role in bringing about political stability and cultural renaissance in the empire during its period."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 19: Societies at Crossroads,Tokugawa bakufu,"A government system in Japan that lasted from 1603-1868, characterized by isolation and strict control over trade."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 19: Societies at Crossroads,Treaty of Nanjing,"On July 29, 1842, this was signed between China and Britain, ending the First Opium War. It resulted in unequal trade conditions imposed on China by Western powers, including the cession of Hong Kong to Britain."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 19: Societies at Crossroads,Tsar Alexander II,"The Emperor of Russia from 1855 until his assassination in 1881, known for modernizing and liberalizing many aspects of Russian society."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 19: Societies at Crossroads,Unequal treaties,"An unequal treaty is a type of agreement that was unfair or disadvantageous to one of the involved parties, often resulting from colonialism and imperialism. These agreements were often imposed on weaker nations by stronger ones as a means of gaining control over resources and territories. Examples include the unequal treaties signed by China with Western powers in the 19th century, such as the Treaty of Tientsin and the Treaty of Nanking."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 19: Societies at Crossroads,Xiuquan,"A Chinese dynasty that ruled from 1796-1820 and was known for its military campaigns, cultural advancements, and economic growth. The founder of the dynasty, Hong Xiuquan, claimed to be the younger brother of Jesus Christ and led his followers in a series of uprisings against the Qing government."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 19: Societies at Crossroads,Young Turks,"A radical faction of the Committee of Union and Progress, the ruling party of the Ottoman Empire in the early 20th century. They sought to modernize the empire by implementing Western-style reforms, including secularization, centralization, industrialization, and constitutionalism. Their actions resulted in the decline of the Ottoman Empire's power and influence, leading to its eventual dissolution after World War I."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 19: Societies at Crossroads,Zaibatsu,"Large, privately-owned corporations or conglomerates that played a significant role in Japan's industrial and economic development during the late 19th to early 20th centuries. They were known for their hierarchical structures, extensive ownership of businesses and industries, and influence over politics and society."
Part 3: Revolutions and Consequences of Industrialization (1750-1900),Chapter 19: Societies at Crossroads,Zemstvos,"Local governments that ruled over specific regions within Russia, typically consisting of small communities or villages. These governing bodies had their own laws and regulations, which were enforced by a council made up of elected officials. The purpose of zemstvos was to allow for more localized governance and decision-making in a country where centralized power often resulted in slow communication and decision-making processes."
